morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
usuujaaqtuq,,1,n,,,,,,,,,sausage,saucisse,,,usuk,1,n,.
usuujaq,,1,n,,,,,,,,,horizontal bar or piece which juts from prow of boat,barre ou pi�ce horizontale qui fait saillie � la proue d'un bateau,,,usuk,1,n,.
aippiq,,1,v,t,,,,,,,i/1vv,[T]to add a second thing to s.t.[P]to be added a second thing,[T]ajouter une deuxi�me chose � qqch.[P]se faire ajouter une deuxi�me chose,,,aippaq,1,n,.
ait,,1,v,t,,,,,,,si/1vv,[-R]to /fetch or /bring s.t.,"[-R]/apporter, /rapporter qqch.",,ai/1v+t/1vv,,,,.
ariut,,1,v,t,,,,,,,si/1v,[-R]to /reject s.o. or s.t.; not to /want s.t. or /love s.o. any longer,[-R]/rejeter qqn ou qqch.; ne plus /aimer qqn ou /vouloir qqch.,,ariu/1v+t/1vv,,,,.
aulat,,1,v,t,,,,,,,si/1vv,[-R]to /direct or /govern s.t.,"[-R]/diriger, /administrer qqch.",,aula/1v+t/1vv,,,,.
katit,,1,v,t,res,,,,,,si/1vv,[-R]to /put s.t. together; to /assemble s.t. [R]to come together to form one,[-R]/assembler qqch.[R]s'unir pour ne former qu'un,,kati/1v+t/1vv,,,,.
manni,,1,v,t,,,,,,,,[T]to resign or steel oneself to receive attack or insult from s.o.,"[T]se r�signer, se pr�parer � recevoir une attaque ou une insulte de qqn.",,,mannik,1,v,.
mannuq,,1,v,i,,,,,,,,to shrink or sink into the ground; to settle,"r�tr�cir, se contracter ou s'enfoncer dans le sol; se tasser",,mannak/1v+?,,,,.
massak,,1,v,i,,,,,,,,to make the noise of s.t. wet,faire le bruit de qqch. qui est mouill�,,,masak,1,n,.
mau,,1,v,i,,,,,,,,to fall through or to get stuck in deep soft snow,s'enfoncer ou s'enliser dans la neige molle profonde,,,mauja,1,n,.
maujaq,,1,v,i,,,,,,,,to get stuck in deep soft snow repeatedly,s'enliser dans la neige molle profonde de fa�on r�p�t�e,,,mauja,1,n,.
maujjak,,1,v,i,a,,,,,,,to be now covered with deep soft snow,�tre maintenant recouvert de neige molle profonde,,,mauja,1,n,.
mik&i,,1,v,i,,,,,,nil,,to get smaller; trans.: to make s.t. smaller,devenir plus petit; trans.: rapetisser qqch.,,,miki,1,v,.
mikaq,,1,v,i,,,,,,nil,,"to bite s.t., nipple s.t., tear at s.t. with the teeth repeatedly",mordre qqch.; mordiller qqch.; d�chirer qqch. avec les dents de fa�on r�p�t�e,,,mikik,1,v,.
milluaq,,1,v,t,,,,,,,si/1vv,[-R]to /suck s.t. in with a series of sucks,[-R]/sucer qqch. en une s�rie de succions,,,miluk,1,v,.
mittau,,1,v,i,a,,,,,,,to be passed over in the communal food or game sharing,�tre mis de c�t� lors du partage du repas ou du gibier,,,,,,.
nabgit,,1,v,t,,,,,,,si/1vv,to /break s.o.'s or s.t.'s leg,[T]briser la jambe de qqn ou la patte d'un animal[P]se faire briser la jambe ou la patte[R]se briser la jambe ou la patte,,nabgi/1v+t/1vv,,,,.
nabluq,,1,v,t,res,,,,,,si/1vv,to /break or /snap s.t. across in several places or several times,/briser ou /casser qqch. en plusieurs endroits ou plusieurs fois,,,napi,1,v,.
nakataq,,1,v,i,,,,,,,,to throw stones or other objects at a standing target to knock it down,lancer des pierres ou d'autres objets � une cible stationnaire pour la faire tomber,,,nakataq,1,n,.
nakiit,,1,v,i,,,,,,,,"to shoot under the mark, due to faulty site adjustment or alignment","tirer en-dessous de la cible, � cause d'un mauvais alignement",,,nakiq,1,v,.
naktit,,1,v,t,,,,,,,si/1vv,to /hook or /catch s.t. on something protruding,"/accrocher, /pendre  qqch. � un objet en saillie",,?+t/1vv,,,,.
nanuiq,,1,v,t,,,,,,,,"[-R]to /ice s.t. (the peat on the runners of a sled) with a damp skin, usually a bear skin","[-R]/glacer qqch. (la mousse sur les patins d'un tra�neau) avec une peau humide, d'habitude une peau d'ours",,nanuq/1n+iq/?,,,,.
naukkiaq,,1,v,t,,,,,,,si/1vv,[T]to throw a spear or harpoon at s.t.[P]to be thrown a spear or harpoon at,[T]lancer une lance ou un harpon sur qqch.[P]se faire lancer une lance ou un harpon dessus,,,,,,.
naulik,,1,v,t,,,,,,,si/1vv,[-R]to /harpoon or /spear s.t.,[-R]/harponner qqch.,,,,,,.
nipit,,2,v,t,res,,,,,,i/1vv si/1vv,to /stick s.t. to something or /make s.t. to adhere to something,/coller qqch. � quelque chose; [T]faire adh�rer qqch. � quelque chose[P]�tre dans l'�tat o� quelqu'un l'a fait adh�rer � quelque chose[R]adh�rer � quelque chose,,nipi/1v+t/1vv,,,,.
niqaq,,1,v,i,a,,,,,,,"to have fattened out, become fleshier","avoir engraiss�, grossi",,,niqi,1,n,.
nuliaq,,1,v,i,,,,,,,,to copulate,copuler,,,nuliaq,1,n,.
nuliu,,1,v,i,a,,,,,,,"to be in heat, speaking of a female dog or bitch","�tre en chaleur, en parlant d'une chienne",,,nuliaq,1,n,.
nutaqqi,,1,v,i,,,,,,,,to give birth to a child,donner naissance � un enfant,,,nutaraq,1,n,.
pakinaq,,1,v,i,,,,,,nil,,to draw s.t. in or press s.t. in repeatedly,rentrer ou enfoncer qqch. de fa�on r�p�t�e,,,pakinik,1,v,.
pamii,,1,v,i,,,,,,,,to stick its tail up in the air,lever la queue en l'air,,,pamiuq,1,n,.
papirursuq,,1,v,i,,,,,,nil,,"to steer, to guide a vehicle",conduire un v�hicule,,,papik,1,n,.
pikiut,,1,v,i,,,,,,,,to find bird's eggs,chercher des oeufs d'oiseau,,,pikiu,1,n,.
