morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
junga,tv,ger,nsp,1,s,,,junga,n,,tunga,n,,tunga,n,,tunga,n,,,?
jutit,tv,ger,nsp,2,s,,,jutit,n,,tutit,n,,tutit,n,,tutit,n,,,?
juq,tv,ger,nsp,3,s,,,juq,n,,tuq,n,,tuq,n,,tuq,n,,,?
juguk,tv,ger,nsp,1,d,,,juguk,n,,tuguk,n,,tuguk,n,,tuguk,n,,,?
jusik,tv,ger,nsp,2,d,,,jusik jutik,n n,,tusik tutik,n n,,tusik tutik,n n,,tusik tutik,n n,,,?
juuk,tv,ger,nsp,3,d,,,juuk juk,n n,,tuuk tuk,n n,,tuuk tuk,n n,,tuuk tuk,n n,,,?
jugut,tv,ger,nsp,1,p,,,jugut,n,,tugut,n,,tugut,n,,tugut,n,,,?
jusi,tv,ger,nsp,2,p,,,jusi,n,,tusi,n,,tusi,n,,tusi,n,,,?
jut,tv,ger,nsp,3,p,,,jut,n,,tut,n,,tut,n,,tut,n,,,?
vunga,tv,dec,nsp,1,s,,,vunga,n,,punga,a,,punga,n,,punga qunga,n son,,,?
vutit,tv,dec,nsp,2,s,,,vutit,n,,putit,a,,putit,n,,putit qutit,n son,,,?
vuq,tv,dec,nsp,3,s,,,vuq,n,,puq,a,,puq,n,,puq quq,n son,,,?
vuguk,tv,dec,nsp,1,d,,,vuguk,n,,puguk,a,,puguk,n,,puguk quguk,n son,,,?
vusik,tv,dec,nsp,2,d,,,vusik vutik,n n,,pusik putik,a a,,pusik putik,n n,,pusik qusik putik qutik,n son n son,,,?
vuuk,tv,dec,nsp,3,d,,,vuuk vuk,n n,,puuk puk,a a,,puuk puk,n n,,puuk quuk puk quk,n son n son,,,?
vugut,tv,dec,nsp,1,p,,,vugut,n,,pugut,a,,pugut,n,,pugut qugut,n son,,,?
vusi,tv,dec,nsp,2,p,,,vusi,n,,pusi,a,,pusi,n,,pusi qusi,n son,,,?
vut,tv,dec,nsp,3,p,,,vut,n,,put,a,,put,n,,put qut,n son,,,?
langa,tv,dec,nsp,1,s,,,langa,n,,langa,s,,langa,s,,langa,s,,id:nngit/1vv,?
latit,tv,dec,nsp,2,s,,,latit,n,,latit,s,,latit,s,,latit,s,,id:nngit/1vv,?
laq,tv,dec,nsp,3,s,,,laq,n,,laq,s,,laq,s,,laq,s,,id:nngit/1vv,?
laguk,tv,dec,nsp,1,d,,,laguk,n,,laguk,s,,laguk,s,,laguk,s,,id:nngit/1vv,?
lasik,tv,dec,nsp,2,d,,,lasik latik,n n,,lasik latik,s s,,lasik latik,s s,,lasik latik,s s,,id:nngit/1vv,?
lak,tv,dec,nsp,3,d,,,lak,n,,lak,s,,lak,s,,lak,s,,id:nngit/1vv,?
lagut,tv,dec,nsp,1,p,,,lagut,n,,lagut,s,,lagut,s,,lagut,s,,id:nngit/1vv,?
lasi,tv,dec,nsp,2,p,,,lasi,n,,lasi,s,,lasi,s,,lasi,s,,id:nngit/1vv,?
lat,tv,dec,nsp,3,p,,,lat,n,,lat,s,,lat,s,,lat,s,,id:nngit/1vv,?
vunga,tv,int,nsp,1,s,,,vunga,n,,punga,a,,punga,n,,punga qunga,n son,,,?
vit,tv,int,nsp,2,s,,,vit,n,,pit,a,,pit,n,,pit qit,n son,,,?
va,tv,int,nsp,3,s,,,va,n,,pa,a,,pa,n,,pa qa,n son,,,?
vinuk,tv,int,nsp,1,d,,,vinuk,n,,pinuk,a,,pinuk,n,,pinuk qinuk,n son,,,?
visik,tv,int,nsp,2,d,,,visik vitik,n n,,pisik pitik,a a,,pisik pitik,n n,,pisik qisik pitik qitik,n son n son,,,?
vak,tv,int,nsp,3,d,,,vak,n,,pak,a,,pak,n,,pak qak,n son,,,?
vita,tv,int,nsp,1,p,,,vita,n,,pita,a,,pita,n,,pita qita,n son,,,?
visi,tv,int,nsp,2,p,,,visi,n,,pisi,a,,pisi,n,,pisi qisi,n son,,,?
vat,tv,int,nsp,3,p,,,vat,n,,pat,a,,pat,n,,pat qat,n son,,,?
langa,tv,int,nsp,1,s,,,langa,n,,langa,s,,langa,s,,langa,s,,id:nngit/1vv,?
latit,tv,int,nsp,2,s,,,latit,n,,latit,s,,latit,s,,latit,s,,id:nngit/1vv,?
laq,tv,int,nsp,3,s,,,laq,n,,laq,s,,laq,s,,laq,s,,id:nngit/1vv,?
laguk,tv,int,nsp,1,d,,,laguk,n,,laguk,s,,laguk,s,,laguk,s,,id:nngit/1vv,?
lasik,tv,int,nsp,2,d,,,lasik latik,n n,,lasik latik,s s,,lasik latik,s s,,lasik latik,s s,,id:nngit/1vv,?
lak,tv,int,nsp,3,d,,,lak,n,,lak,s,,lak,s,,lak,s,,id:nngit/1vv,?
lagut,tv,int,nsp,1,p,,,lagut,n,,lagut,s,,lagut,s,,lagut,s,,id:nngit/1vv,?
lasi,tv,int,nsp,2,p,,,lasi,n,,lasi,s,,lasi,s,,lasi,s,,id:nngit/1vv,?
lat,tv,int,nsp,3,p,,,lat,n,,lat,s,,lat,s,,lat,s,,id:nngit/1vv,?
vinga,tv,int,sp,2,s,1,s,vinga,n,,pinga,a,,pinga,n,,pinga,n,,,?
vaanga,tv,int,sp,3,s,1,s,vaanga,n,,paanga,a,,paanga,n,,paanga,n,,,?
vagit,tv,int,sp,1,s,2,s,vagit,n,,pagit,a,,pagit,n,,pagit,n,,,?
vaatit,tv,int,sp,3,s,2,s,vaatit,n,,paatit,a,,paatit,n,,paatit,n,,,?
vigu,tv,int,sp,1,s,3,s,vigu,n,,pigu,a,,pigu,n,,pigu,n,,,?
viuk,tv,int,sp,2,s,3,s,viuk,n,,piuk,a,,piuk,n,,piuk,n,,,?
vauk,tv,int,sp,3,s,3,s,vauk,n,,pauk,a,,pauk,n,,pauk,n,,,?
langa,tv,int,sp,2,s,1,s,langa,n,,langa,s,,langa,s,,langa,s,,id:nngit/1vv,?
laanga,tv,int,sp,3,s,1,s,laanga,n,,laanga,s,,laanga,s,,laanga,s,,id:nngit/1vv,?
lagit,tv,int,sp,1,s,2,s,lagit,n,,lagit,s,,lagit,s,,lagit,s,,id:nngit/1vv,?
laatit,tv,int,sp,3,s,2,s,laatit,n,,laatit,s,,laatit,s,,laatit,s,,id:nngit/1vv,?
lagu,tv,int,sp,1,s,3,s,lagu,n,,lagu,s,,lagu,s,,lagu,s,,id:nngit/1vv,?
liuk,tv,int,sp,2,s,3,s,liuk,n,,liuk,s,,liuk,s,,liuk,s,,id:nngit/1vv,?
lauk,tv,int,sp,3,s,3,s,lauk,n,,lauk,s,,lauk,s,,lauk,s,,id:nngit/1vv,?
langa,tv,imp,nsp,1,s,,,langa,n,,langa,son,,langa,son,,langa,son,,,?
git,tv,imp,nsp,2,s,,,git,n,,tit git,n s,,git,fus,,rit,fus,,,?
li,tv,imp,nsp,3,s,,,li,n,,li,son,,li,son,,li,son,,,?
luk,tv,imp,nsp,1,d,,,luk,n n,,luk,son,,luk,son,,luk,son,,,?
gissik,tv,imp,nsp,2,d,,,gissik gittik,n n,,tissik gissik tittik gittik,n s n s,,gissik gittik,fus fus,,rissik rittik,fus fus,,,?
lik,tv,imp,nsp,3,d,,,lik,n,,lik,son,,lik,son,,lik,son,,,?
ta,tv,imp,nsp,1,p,,,ta ta ta,n i(p) i(t),,ta,n,,ta,n a,,ta,n,,,?
gipsi,tv,imp,nsp,2,p,,,gipsi,n,,tipsi gipsi,n s,,gipsi,fus,,ripsi,fus,,,?
lit,tv,imp,nsp,3,p,,,lit,n,,lit,son,,lit,son,,lit,son,,,?
vungaa,tv,int,nsp,1,s,,,vungaa,n,,pungaa,a,,pungaa,n,,pungaa qungaa,n son,,,?
viit,tv,int,nsp,2,s,,,viit,n,,piit,a,,piit,n,,piit qiit,n son,,,?
vaa,tv,int,nsp,3,s,,,vaa,n,,paa,a,,paa,n,,paa qaa,n son,,,?
vinuuk,tv,int,nsp,1,d,,,vinuuk,n,,pinuuk,a,,pinuuk,n,,pinuuk qinuuk,n son,,,?
visiik,tv,int,nsp,2,d,,,visiik vitiik,n,,pisiik pitiik,a a,,pisiik pitiik,n,,pisiik qisiik pitiik qitiik,n son n son,,,?
vaak,tv,int,nsp,3,d,,,vaak,n n,,paak,a,,paak,n,,paak qaak,n son,,,?
vitaa,tv,int,nsp,1,p,,,vitaa,n,,pitaa,a,,pitaa,n,,pitaa qitaa,n son,,,?
visii,tv,int,nsp,2,p,,,visii,n,,pisii,a,,pisii,n,,pisii qisii,n son,,,?
vaat,tv,int,nsp,3,p,,,vaat,n,,paat,a,,paat,n,,paat qaat,n son,,,?
varma,tv,dec,sp,2,s,1,s,varma,n,,parma,a,,parma,n,,parma qarma,n son,,,?
vaanga,tv,dec,sp,3,s,1,s,vaanga,n,,paanga,a,,paanga,n,,paanga qaanga,n son,,,?
vagit,tv,dec,sp,1,s,2,s,vagit,n,,pagit,a,,pagit,n,,pagit qagit,n son,,,?
vaatit,tv,dec,sp,3,s,2,s,vaatit,n,,paatit,a,,paatit,n,,paatit qaatit,n son,,,?
vara,tv,dec,sp,1,s,3,s,vara,n,,para,a,,para,n,,para qara,n son,,,?
vait,tv,dec,sp,2,s,3,s,vait,n,,pait,a,,pait,n,,pait qait,n son,,,?
vanga,tv,dec,sp,3,s,3,s,vanga vaa,n n,,panga paa,a a,,panga paa,n,,panga paa qanga qaa,n n son son,,,?
vattiguk,tv,dec,sp,2,s,1,d,vattiguk vattikkuk,n n,,pattiguk pattikkuk,a a,,pattiguk pattikkuk,n n,,pattiguk pattikkuk qattiguk qattikkuk,n n son son,,,?
vaatiguk,tv,dec,sp,3,s,1,d,vaatiguk vaatikkuk,n n,,paatiguk paatikkuk,a a,,paatiguk paatikkuk,n n,,paatiguk paatikkuk qaatiguk qaatikkuk,n n son son,,,?
vassik,tv,dec,sp,1,s,2,d,vassik,n,,passik,a,,passik,n,,passik qassik,n son,,,?
vaasik,tv,dec,sp,3,s,2,d,vaasik vaatik,n n,,paasik paatik,a a,,paasik paatik,n n,,paasik paatik qaasik qaatik,n n son son,,,?
vaakka,tv,dec,sp,1,s,3,d,vaakka,n,,paakka,a,,paakka,n,,paakka qaakka,n son,,,?
vaakkik,tv,dec,sp,2,s,3,d,vaakkik,n,,paakkik,a,,paakkik,n,,paakkik qaakkik,n son,,,?
vaangik,tv,dec,sp,3,s,3,d,vaangik,n,,paangik,a,,paangik,n,,paangik qaangik,n son,,,?
vaptigut,tv,dec,sp,2,s,1,p,vaptigut,n,,paptigut,a,,paptigut,n,,paptigut qaptigut,n son,,,?
vaatigut,tv,dec,sp,3,s,1,p,vaatigut,n,,paatigut,a,,paatigut,n,,paatigut qaatigut,n son,,,?
vatsi,tv,dec,sp,1,s,2,p,vatsi,n,,patsi,a,,patsi,n,,patsi qatsi,n son,,,?
vaasi,tv,dec,sp,3,s,2,p,vaasi,n,,paasi,a,,paasi,n,,paasi qaasi,n son,,,?
vakka,tv,dec,sp,1,s,3,p,vakka,n,,pakka,a,,pakka,n,,pakka qakka,n son,,,?
vatit,tv,dec,sp,2,s,3,p,vatit,n,,patit,a,,patit,n,,patit qatit,n son,,,?
vangit,tv,dec,sp,3,s,3,p,vangit vait,n n,,pangit pait,a a,,pangit pait,n n,,pangit pait qangit qait,n n son son,,,?
gama,tv,caus,nsp,1,s,,,gama,n,,nama,a,,kama,n,,rama,fus,,,?
gavit,tv,caus,nsp,2,s,,,gavit,n,,navit,a,,kavit,n,,ravit,fus,,,?
gami,tv,caus,nsp,3,s,,,gami,n,,nami,a,,kami,n,,rami,fus,,,?
mat,tv,caus,nsp,4,s,,,mat mat,i(ng) i(m),,mat,a,,mat,nas,,mat,nas,,,?
gannuk,tv,caus,nsp,1,d,,,gannuk,n,,nannuk,a,,kannuk,n,,rannuk,fus,,,?
gapsik,tv,caus,nsp,2,d,,,gapsik,n,,napsik,a,,kapsik,n,,rapsik,fus,,,?
gamik,tv,caus,nsp,3,d,,,gamik,n,,namik,a,,kamik,n,,ramik,fus,,,?
matik,tv,caus,nsp,4,d,,,matik matik,i(ng) i(m),,matik,a,,matik,nas,,matik,nas,,,?
gapta,tv,caus,nsp,1,p,,,gapta,n,,napta,a,,kapta,n,,rapta,fus,,,?
gapsi,tv,caus,nsp,2,p,,,gapsi,n,,napsi,a,,kapsi,n,,rapsi,fus,,,?
gamik,tv,caus,nsp,3,p,,,gamik,n,,namik,a,,kamik,n,,ramik,fus,,,?
mata,tv,caus,nsp,4,p,,,mata mata,i(ng) i(m),,mata,a,,mata,nas,,mata,nas,,,?
guma,tv,cond,nsp,1,s,,,guma,n,,kuma,a,,kuma,n,,ruma,fus,,,?
guvit,tv,cond,nsp,2,s,,,guvit,n,,kuvit,a,,kuvit,n,,ruvit,fus,,,?
guni,tv,cond,nsp,3,s,,,guni,n,,kuni,a,,kuni,n,,runi,fus,,,?
pat,tv,cond,nsp,4,s,,,pat pat,i(k) i(p),,pat,a a(k),,pat,n,,pat,n,,,?
gunnuk,tv,cond,nsp,1,d,,,gunnuk,n,,kunnuk,a,,kunnuk,n,,runnuk,fus,,,?
gupsik,tv,cond,nsp,2,d,,,gupsik,n,,kupsik,a,,kupsik,n,,rupsik,fus,,,?
gunik,tv,cond,nsp,3,d,,,gunik,n,,kunik,a,,kunik,n,,runik,fus,,,?
patik,tv,cond,nsp,4,d,,,patik patik,i(k) i(p),,patik,a a(k),,patik,n,,patik,n,,,?
gupta,tv,cond,nsp,1,p,,,gupta,n,,kupta,a,,kupta,n,,rupta,fus,,,?
gupsi,tv,cond,nsp,2,p,,,gupsi,n,,kupsi,a,,kupsi,n,,rupsi,fus,,,?
gunik,tv,cond,nsp,3,p,,,gunik,n,,kunik,a,,kunik,n,,runik,fus,,,?
pata,tv,cond,nsp,4,p,,,pata pata,i(k) i(p),,pata,a a(k),,pata,n,,pata,n,,,?
vaattinga,tv,dec,sp,2,d,1,s,vaattinga,n,,paattinga,a,,paattinga,n,,paattinga qaattinga,n son,,,?
vaanga,tv,dec,sp,3,d,1,s,vaanga,n,,paanga,a,,paanga,n,,paanga qaanga,n son,,,?
vattigik,tv,dec,sp,1,d,2,s,vattigik,n,,pattigik,a,,pattigik,n,,pattigik qattigik,n son,,,?
vaatit,tv,dec,sp,3,d,2,s,vaatit,n,,paatit,a,,paatit,n,,paatit qaatit,n son,,,?
vavuk,tv,dec,sp,1,d,3,s,vavuk,n,,pavuk,a,,pavuk,n,,pavuk qavuk,n son,,,?
vasik,tv,dec,sp,2,d,3,s,vasik vatik,n n,,pasik patik,a a,,pasik patik,n n,,pasik patik qasik qatik,n n son son,,,?
vangak,tv,dec,sp,3,d,3,s,vangak,n,,pangak,a,,pangak,n,,pangak qangak,n son,,,?
vaattiguk,tv,dec,sp,2,d,1,d,vaattiguk,n,,paattiguk,a,,paattiguk,n,,paattiguk qaattiguk,n son,,,?
vaatiguk,tv,dec,sp,3,d,1,d,vaatiguk,n,,paatiguk,a,,paatiguk,n,,paatiguk qaatiguk,n son,,,?
vassik,tv,dec,sp,1,d,2,d,vassik,n,,passik,a,,passik,n,,passik qassik,n son,,,?
vaatik,tv,dec,sp,3,d,2,d,vaatik,n,,paatik,a,,paatik,n,,paatik qaatik,n son,,,?
vaavuk,tv,dec,sp,1,d,3,d,vaavuk,n,,paavuk,a,,paavuk,n,,paavuk qaavuk,n son,,,?
vaassik,tv,dec,sp,2,d,3,d,vaassik vaattik,n n,,paassik paattik,a a,,paassik paattik,n n,,paassik paattik qaassik qaattik,n n son son,,,?
vaangik,tv,dec,sp,3,d,3,d,vaangik,n,,paangik,a,,paangik,n,,paangik qaangik,n son,,,?
vaattigut,tv,dec,sp,2,d,1,p,vaattigut,n,,paattigut,a,,paattigut,n,,paattigut qaattigut,n son,,,?
vaatigut,tv,dec,sp,3,d,1,p,vaatigut,n,,paatigut,a,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,dec,sp,1,d,2,p,vassi,n,,passi,a,,passi,n,,passi qassi,n son,,,?
vaasi,tv,dec,sp,3,d,2,p,vaasi,n,,paasi,a,,paasi,n,,paasi qaasi,n son,,,?
vavuk,tv,dec,sp,1,d,3,p,vavuk,n,,pavuk,a,,pavuk,n,,pavuk qavuk,n son,,,?
vasik,tv,dec,sp,2,d,3,p,vasik vatik,n n,,pasik patik,a a,,pasik patik,n n,,pasik patik qasik qatik,n n son son,,,?
vangik,tv,dec,sp,3,d,3,p,vangik,n,,pangik,a,,pangik,n,,pangik qangik,n son,,,?
vapsinga,tv,dec,sp,2,p,1,s,vapsinga,n,,papsinga,a,,papsinga,n,,papsinga qapsinga,n son,,,?
vaanga,tv,dec,sp,3,p,1,s,vaanga,n,,paanga,a,,paanga,n,,paanga qaanga,n son,,,?
vaptigit,tv,dec,sp,1,p,2,s,vaptigit,n,,paptigit,a,,paptigit,n,,paptigit qaptigit,n son,,,?
vaatit,tv,dec,sp,3,p,2,s,vaatit,n,,paatit,a,,paatit,n,,paatit qaatit,n son,,,?
vavut,tv,dec,sp,1,p,3,s,vavut,n,,pavut,a,,pavut,n,,pavut qavut,n son,,,?
vasi,tv,dec,sp,2,p,3,s,vasi,n,,pasi,a,,pasi,n,,pasi qasi,n son,,,?
vangat,tv,dec,sp,3,p,3,s,vangat vaat,n n,,pangat paat,a a,,pangat paat,n n,,pangat paat qangat qaat,n n son son,,,?
vattiguk,tv,dec,sp,2,p,1,d,vattiguk,n,,pattiguk,a,,pattiguk,n,,pattiguk qattiguk,n son,,,?
vaatiguk,tv,dec,sp,3,p,1,d,vaatiguk,n,,paatiguk,a,,paatiguk,n,,paatiguk qaatiguk,n son,,,?
vassik,tv,dec,sp,1,p,2,d,vassik,n,,passik,a,,passik,n,,passik qassik,n son,,,?
vaasik,tv,dec,sp,3,p,2,d,vaasik vaatik,n n,,paasik paatik,a a,,paasik paatik,n n,,paasik paatik qaasik qaatik,n n son son,,,?
vaavut,tv,dec,sp,1,p,3,d,vaavut,n,,paavut,a,,paavut,n,,paavut qaavut,n son,,,?
vaassi,tv,dec,sp,2,p,3,d,vaassi,n,,paassi,a,,paassi,n,,paassi qaassi,n son,,,?
vaangik,tv,dec,sp,3,p,3,d,vaangik,n,,paangik,a,,paangik,n,,paangik qaangik,n son,,,?
vaptigut,tv,dec,sp,2,p,1,p,vaptigut,n,,paptigut,a,,paptigut,n,,paptigut qaptigut,n son,,,?
vaatigut,tv,dec,sp,3,p,1,p,vaatigut,n,,paatigut,a,,paatigut,n,,paatigut qaatigut,n son,,,?
vapsi,tv,dec,sp,1,p,2,p,vapsi,n,,papsi,a,,papsi,n,,papsi qapsi,n son,,,?
vaasi,tv,dec,sp,3,p,2,p,vaasi,n,,paasi,a,,paasi,n,,paasi qaasi,n son,,,?
vavut,tv,dec,sp,1,p,3,p,vavut,n,,pavut,a,,pavut,n,,pavut qavut,n son,,,?
vasi,tv,dec,sp,2,p,3,p,vasi,n,,pasi,a,,pasi,n,,pasi qasi,n son,,,?
vangit,tv,dec,sp,3,p,3,p,vangit vait,n n,,pangit pait,a,,pangit pait,n n,,pangit pait qangit qait,n n son son,,,?
vittiguk,tv,int,sp,2,s,1,d,vittiguk vittikkuk,n n,,pittiguk pittikkuk,n n,,pittiguk pittikkuk,n n,,pittiguk pittikkuk qittiguk qittikkuk,n n son son,,,?
vaatiguk,tv,int,sp,3,s,1,d,vaatiguk,n,,paatiguk,n,,paatiguk,n,,paatiguk qaatiguk,n son,,,?
vassik,tv,int,sp,1,s,2,d,vassik,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,s,2,d,vaatik,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vaakka,tv,int,sp,1,s,3,d,vaakka,n,,paakka,n,,paakka,n,,paakka qaakka,n son,,,?
vigik,tv,int,sp,2,s,3,d,vigik,n,,pigik,n,,pigik,n,,pigik qigik,n son,,,?
vagik,tv,int,sp,3,s,3,d,vagik vakkik,n n,,pagik pakkik,n n,,pagik pakkik,n n,,pagik pakkik qagik qakkik,n n son son,,,?
vittigut,tv,int,sp,2,s,1,p,vittigut,n,,pittigut,n,,pittigut,n,,pittigut qittigut,n son,,,?
vaatigut,tv,int,sp,3,s,1,p,vaatigut,n,,paatigut,n,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,int,sp,1,s,2,p,vassi,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,s,2,p,vaasi,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vakka,tv,int,sp,1,s,3,p,vakka,n,,pakka,n,,pakka,n,,pakka qakka,n son,,,?
vigit,tv,int,sp,2,s,3,p,vigit,n,,pigit,n,,pigit,n,,pigit qigit,n son,,,?
vagit,tv,int,sp,3,s,3,p,vagit,n,,pagit,n,,pagit,n,,pagit qagit,n son,,,?
vittinga,tv,int,sp,2,d,1,s,vittinga,n,,pittinga,n,,pittinga,n,,pittinga qittinga,n son,,,?
vaanga,tv,int,sp,3,d,1,s,vaanga,n,,paanga,n,,paanga,n,,paanga qaanga,n son,,,?
vittigit,tv,int,sp,1,d,2,s,vittigit,n,,pittigit,n,,pittigit,n,,pittigit qittigit,n son,,,?
vaatit,tv,int,sp,3,d,2,s,vaatit,n,,paatit,n,,paatit,n,,paatit qaatit,n son,,,?
vittigu,tv,int,sp,1,d,3,s,vittigu,n,,pittigu,n,,pittigu,n,,pittigu qittigu,n son,,,?
vittikku,tv,int,sp,2,d,3,s,vittikku,n,,pittikku,n,,pittikku,n,,pittikku qittikku,n son,,,?
vaak,tv,int,sp,3,d,3,s,vaak,n,,paak,n,,paak,n,,paak qaak,n son,,,?
vittiguk,tv,int,sp,2,d,1,d,vittiguk,n,,pittiguk,n,,pittiguk,n,,pittiguk qittiguk,n son,,,?
vittiguk,tv,int,sp,3,d,1,d,vittiguk vaatiguk,n n,,pittiguk paatiguk,n n,,pittiguk paatiguk,n n,,pittiguk paatiguk qittiguk qaatiguk,n n son son,,,?
vassik,tv,int,sp,1,d,2,d,vassik,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,d,2,d,vaatik,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vittigik,tv,int,sp,1,d,3,d,vittigik,n,,pittigik,n,,pittigik,n,,pittigik qittigik,n son,,,?
vittikkik,tv,int,sp,2,d,3,d,vittikkik,n,,pittikkik,n,,pittikkik,n,,pittikkik qittikkik,n son,,,?
vakkik,tv,int,sp,3,d,3,d,vakkik,n,,pakkik,n,,pakkik,n,,pakkik qakkik,n son,,,?
vittigut,tv,int,sp,2,d,1,p,vittigut,n,,pittigut,n,,pittigut,n,,pittigut qittigut,n son,,,?
vittigut,tv,int,sp,3,d,1,p,vittigut vaatigut,n n,,pittigut paatigut,n n,,pittigut paatigut,n n,,pittigut paatigut qittigut qaatigut,n n son son,,,?
vassi,tv,int,sp,1,d,2,p,vassi,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,d,2,p,vaasi,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vittigit,tv,int,sp,1,d,3,p,vittigit,n,,pittigit,n,,pittigit,n,,pittigit qittigit,n son,,,?
vittikkit,tv,int,sp,2,d,3,p,vittikkit,n,,pittikkit,n,,pittikkit,n,,pittikkit qittikkit,n son,,,?
vittigit,tv,int,sp,3,d,3,p,vittigit vakkit,n n,,pittigit pakkit,n n,,pittigit pakkit,n n,,pittigit pakkit qittigit qakkit,n n son son,,,?
visinga,tv,int,sp,2,p,1,s,visinga,n,,pisinga,n,,pisinga,n,,pisinga qisinga,n son,,,?
vaanga,tv,int,sp,3,p,1,s,vaanga,n,,paanga,n,,paanga,n,,paanga qaanga,n son,,,?
vitigit,tv,int,sp,1,p,2,s,vitigit,n,,pitigit,n,,pitigit,n,,pitigit qitigit,n son,,,?
vaatit,tv,int,sp,3,p,2,s,vaatit,n,,paatit,n,,paatit,n,,paatit qaatit,n son,,,?
vitigu,tv,int,sp,1,p,3,s,vitigu,n,,pitigu,n,,pitigu,n,,pitigu qitigu,n son,,,?
visiuk,tv,int,sp,2,p,3,s,visiuk,n,,pisiuk,n,,pisiuk,n,,pisiuk qisiuk,n son,,,?
vajjuk,tv,int,sp,3,p,3,s,vajjuk,n,,pajjuk,n,,pajjuk,n,,pajjuk qajjuk,n son,,,?
vittiguk,tv,int,sp,2,p,1,d,vittiguk,n,,pittiguk,n,,pittiguk,n,,pittiguk qittiguk,n son,,,?
vittiguk,tv,int,sp,3,p,1,d,vittiguk vaatiguk,n n,,pittiguk paatiguk,n n,,pittiguk paatiguk,n n,,pittiguk paatiguk qittiguk qaatiguk,n n son son,,,?
vassik,tv,int,sp,1,p,2,d,vassik,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,p,2,d,vaatik,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vitigik,tv,int,sp,1,p,3,d,vitigik,n,,pitigik,n,,pitigik,n,,pitigik qitigik,n son,,,?
visigik,tv,int,sp,2,p,3,d,visigik,n,,pisigik,n,,pisigik,n,,pisigik qisigik,n son,,,?
vagik,tv,int,sp,3,p,3,d,vagik,n,,pagik,n,,pagik,n,,pagik qagik,n son,,,?
vitigut,tv,int,sp,2,p,1,p,vitigut,n,,pitigut,n,,pitigut,n,,pitigut qitigut,n son,,,?
vaatigut,tv,int,sp,3,p,1,p,vaatigut,n,,paatigut,n,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,int,sp,1,p,2,p,vassi,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,p,2,p,vaasi,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vitigit,tv,int,sp,1,p,3,p,vitigit,n,,pitigit,n,,pitigit,n,,pitigit qitigit,n son,,,?
visigit,tv,int,sp,2,p,3,p,visigit,n,,pisigit,n,,pisigit,n,,pisigit qisigit,n son,,,?
vagit,tv,int,sp,3,p,3,p,vagit,n,,pagit,n,,pagit,n,,pagit qagit,n son,,,?
nnga,tv,imp,sp,2,s,1,s,nnga,n,,nnga,s,,nnga,s,,nnga,s,,,?
linga,tv,imp,sp,3,s,1,s,linga,n,,linga,son,,linga,son,,linga,son,,,?
lagit,tv,imp,sp,1,s,2,s,lagit,n,,lagit,son,,lagit,son,,lagit,son,,,?
litit,tv,imp,sp,3,s,2,s,litit,n,,litit,son,,litit,son,,litit,son,,,?
lagu,tv,imp,sp,1,s,3,s,lagu,n,,lagu,son,,lagu,son,,lagu,son,,,?
guk,tv,imp,sp,2,s,3,s,guk,n,,juk,a,,guk,fus,,ruk,fus,,,?
liuk,tv,imp,sp,3,s,3,s,liuk,n,,liuk,son,,liuk,son,,liuk,son,,,?
tiguk,tv,imp,sp,2,s,1,d,tiguk,n,,tiguk,n,,tiguk,n,,tiguk,n,,,?
litiguk,tv,imp,sp,3,s,1,d,litiguk,n,,litiguk,son,,litiguk,son,,litiguk,son,,,?
lassik,tv,imp,sp,1,s,2,d,lassik,n,,lassik,son,,lassik,son,,lassik,son,,,?
litik,tv,imp,sp,3,s,2,d,litik,n,,litik,son,,litik,son,,litik,son,,,?
laakka,tv,imp,sp,1,s,3,d,laakka,n,,laakka,son,,laakka,son,,laakka,son,,,?
kkik,tv,imp,sp,2,s,3,d,kkik,n,,kkik,s,,kkik,s,,kkik,s,,,?
likkik,tv,imp,sp,3,s,3,d,likkik,n,,likkik,son,,likkik,son,,likkik,son,,,?
tigut,tv,imp,sp,2,s,1,p,tigut,n,,tigut,n,,tigut,n,,tigut,n,,,?
