Mot original (fréquence Google du mot en syllabique),Mot original en syllabique,Traduction,"Reformulations 
trouvées","Meilleures 
Reformulations","Syllabique des refromulations
avec #hits Google","Traduction
des meilleures
Reformulations",Notes
nangminirijauqataujuq (2),ᓇᖕᒥᓂᕆᔭᐅᖃᑕᐅᔪᖅ,subsidiary (or owned?),1,"namminirijauqataujuq;
nangminirijaujuq;
nangminirijaujut;
nangminirijauvuq","ᓇᒻᒥᓂᕆᔭᐅᖃᑕᐅᔪᖅ (1);
ᓇᖕᒥᓂᕆᔭᐅᔪᖅ (438);
ᓇᖕᒥᓂᕆᔭᐅᔪᑦ (417)","owned;
owned","nangminiq : self
vuq/vut returned about 10 hits each : juq/juq used more often"
tusaqtitsijariaksaq (6),ᑐᓴᖅᑎᑦᓯᔭᕆᐊᒃᓴᖅ,announcing,1,"tusaqtitsijuq;
tusaqtitsijut","ᑐᓴᖅᑎᑦᓯᔪᖅ (700);
ᑐᓴᖅᑎᑦᓯᔪᑦ (192)",,
qaujikkaijunnaramik (2),ᖃᐅᔨᒃᑲᐃᔪᓐᓇᕋᒥᒃ,because they can make know = to announce,1,"qaujikkaijunnaqpuq;
qaujikkaijunnaqtut;
qaujikkaijuq;
qaujikkaijut","ᖃᐅᔨᒃᑲᐃᔪᓐᓇᖅᐳᖅ (0);
ᖃᐅᔨᒃᑲᐃᔪᓐᓇᖅᑐᑦ (1)
ᖃᐅᔨᒃᑲᐃᔪᖅ (1)
ᖃᐅᔨᒃᑲᐃᔪᑦ (9)",,X:qauji/to know s.t.–kkai/to intentionally make s.o. X–junnaq/to be able–ramik/because they
sivulininngaaqtuliriniq (739),ᓯᕗᓕᓂᙶᖅᑐᓕᕆᓂᖅ,heritage,0,,,,"as in langage, heritage and culture"
uvvaluunniit (12200),ᐅᕝᕙᓘᓐᓃᑦ,or,0,,,,
kisuruluujalungnik (1),ᑭᓱᕈᓘᔭᓗᖕᓂᒃ,a lot [of (bad?) things],1,"kisuruluujaq;
kisuruluujarnik;
kisuruluujarnit;
kisuruluujarnut","(0);
ᑭᓱᕈᓘᔭᕐᓂᒃ (3);
ᑭᓱᕈᓘᔭᕐᓂᑦ (5);
ᑭᓱᕈᓘᔭᕐᓄᑦ (1)",";
a lot of [things];
a lot of",-nik
unatarninginni (2),ᐅᓇᑕᕐᓂᖏᓐᓂ,defence (DEW line – distant early warning),1,unatarniq,ᐅᓇᑕᕐᓂᖅ (10),"fight, combat",-nginni
ukiuqtaqturmiutanut (13),ᐅᑭᐅᖅᑕᖅᑐᕐᒥᐅᑕᓄᑦ,northern people,1,"ukiuqtaqturmiut;
ukiuqtaqturmiutait","ᐅᑭᐅᖅᑕᖅᑐᕐᒥᐅᑦ (180);
ᐅᑭᐅᖅᑕᖅᑐᕐᒥᐅᑕᐃᑦ (4)",residents of the north,-nut
saqqittivut (355),ᓴᖅᑭᑦᑎᕗᑦ,unveils,0,,,,
nalunaiqsimajumi (10),ᓇᓗᓇᐃᖅᓯᒪᔪᒥ,specific/particular/recorded/category/framework,1,nalunaiqsimajuq,ᓇᓗᓇᐃᖅᓯᒪᔪᖅ (200),status; it shows,nalunaiqsima- est utilisé à toutes les sauces (to be confused-to cause-no more-)
piliriqatautittiniq (4),ᐱᓕᕆᖃᑕᐅᑎᑦᑎᓂᖅ,"engaging, engagement (of)",1,"pilirititsinirmut;
piliritittiniq","ᐱᓕᕆᑎᑦᑎᓂᕐᒧᑦ (9);
ᐱᓕᕆᑎᑦᑎᓂᖅ (9)",investment,action of making people to work together at s.t.
sanajulirinirmut (158),ᓴᓇᔪᓕᕆᓂᕐᒧᑦ,Public Works,1,sanajuliriniq,ᓴᓇᔪᓕᕆᓂᖅ (8),trade,"-mut 
this word in public service name"
piqasiujjigiaqarniaqtuq (2),ᐱᖃᓯᐅᔾᔨᒋᐊᖃᕐᓂᐊᖅᑐᖅ,it will need to capture,1,"piqasiujjiniq;
piqasiujjinirmut;
piqasiujjijuq","ᐱᖃᓯᐅᔾᔨᓂᖅ (20);
(2);
ᐱᖃᓯᐅᔾᔨᔪᖅ (268)","inclusion, embedding;
integrated;
it involves, includes",to put together–do something for...–need–will–it
tunisinirmit (458),ᑐᓂᓯᓂᕐᒥᑦ,submitting/donating/providing,1,tunisiniq,ᑐᓂᓯᓂᖅ (1860),submission,
piliriangulaaqpuq (1),ᐱᓕᕆᐊᖑᓛᖅᐳᖅ,"it will take place (it will be an item, a program)",1,"pilirianguvuq;
piliriangujuq;
piliriaq","ᐱᓕᕆᐊᖑᕗᖅ (139);
ᐱᓕᕆᐊᖑᔪᖅ (2140);
ᐱᓕᕆᐊᖅ (10200)","is the product (of), is a program;
project; in progress; program",
ilisarijausimajjutimik (2),ᐃᓕᓴᕆᔭᐅᓯᒪᔾᔪᑎᒥᒃ,award-winning? (in the sense of recognized),1,"ilisarijausimajjuti;
ilitarijaujut;
ilitarijausimajut","ᐃᓕᓴᕆᔭᐅᓯᒪᔾᔪᑎ (0);
ᐃᓕᓴᕆᔭᐅᔪᑦ (178);
ᐃᓕᑕᕆᔭᐅᓯᒪᔪᑦ (772)",";
aknowledgements, recognized;
official, registered(?), accredited","-mik
ilisaq- : to recognize"
unataqtutsalirijingita (2),ᐅᓇᑕᖅᑐᑦᓴᓕᕆᔨᖏᑕ,defence,1,"unataqtuksait;
unataqtuksalirikkut","ᐅᓇᑕᖅᑐᒃᓴᐃᑦ (91);
ᐅᓇᑕᖅᑐᒃᓴᓕᕆᔨᒃᑯᑦ (10)","the military;
department of defence","Defence Construction of Canada
-ngita
unataqtuksaq/figher;soldier–liriji/he who works with,for"
aqiarurlungniq (75),ᐊᕿᐊᕈᕐᓗᖕᓂᖅ,stomach ache/illness,0,,,,
avatilirinirmuungajunik (10),ᐊᕙᑎᓕᕆᓂᕐᒨᖓᔪᓂᒃ,environmental,1,"avatilirinirmuungajuq;
avatiliriniq","ᐊᕙᑎᓕᕆᓂᕐᒨᖓᔪᖅ (1);
ᐊᕙᑎᓕᕆᓂᖅ (1580)",";
environment/environmental",-nik
piisiipiilingnik (2),ᐲᓰᐲᓕᖕᓂᒃ,with PCB,0,,,,-nik
tukisigiarutiksanit (8),ᑐᑭᓯᒋᐊᕈᑎᒃᓴᓂᑦ,basic information/information,1,"tukisigiarutiksaq;
tukisigiaruti","ᑐᑭᓯᒋᐊᕈᑎᒃᓴᖅ (8);
ᑐᑭᓯᒋᐊᕈᑎ (1860)","information;
information/primer",-nit
parnaummit (158),ᐸᕐᓇᐅᒻᒥᑦ,plans,1,"parnaut;
parnauti","ᐸᕐᓇᐅᑦ (493);
ᐸᕐᓇᐅᑎ (1520)",plan,-mit
aaqqigiaqsinirmit (9),ᐋᖅᑭᒋᐊᖅᓯᓂᕐᒥᑦ,to amend/solve/repair/modify/improve,1,"aaqqigiaqsiniq;
aaqqigiarniq","ᐋᖅᑭᒋᐊᖅᓯᓂᖅ (9);
ᐋᖅᑭᒋᐊᖅᓂᖅ (6)","amendments/editing/improvements;
amendment",-mit
pilirianguniujuq (5),ᐱᓕᕆᐊᖑᓂᐅᔪᖅ,project,1,piliriaq,ᐱᓕᕆᐊᖅ (9990),project/plan/program,
kaanturaaktaaqtitauvut (2),ᑳᓐᑐᕌᒃᑖᖅᑎᑕᐅᕗᑦ,has been awarded a contract,1,"kaanturaak;
kaanturaat","ᑳᓐᑐᕌᒃ (38);
ᑳᓐᑐᕌᑦ (34)","contract;
contracts",contract–to get–to make that–<passive>
ullurummitarnamik (2),ᐅᓪᓗᕈᒻᒥᑕᕐᓇᒥᒃ,at noon/lunch time,0,,,,ullurumitarnaq (1 'm')
sunakkutaaqaqtitsijiit (5),ᓱᓇᒃᑯᑖᖃᖅᑎᑦᓯᔩᑦ,logistics,0,,,,
quviasugutiqarnirmut (7),ᖁᕕᐊᓱᒍᑎᖃᕐᓂᕐᒧᑦ,celebration/ceremonial (activities),0,,,,
piruqtittiqullugit (2),ᐱᕈᖅᑎᑦᑎᖁᓪᓗᒋᑦ,as they build (make grow),0,,,,
silarjuamilu (79),ᓯᓚᕐᔪᐊᒥᓗ,and in the world/and internationally,0,,,,
tangmaarniup (1),ᑕᖕᒫᕐᓂᐅᑉ,of camping,0,,,,
niuviqatautillugit (2),ᓂᐅᕕᖃᑕᐅᑎᓪᓗᒋᑦ,joining in partnership,1,"niuviqatauvut;
niuviqatauniq","ᓂᐅᕕᖃᑕᐅᕗᑦ (0);
ᓂᐅᕕᖃᑕᐅᓂᖅ (0)",,to trade/purchase–to go along/participate–
ilinniarvinganni (85),ᐃᓕᓐᓂᐊᕐᕕᖓᓐᓂ,in its school,1,ilinniarvik,ᐃᓕᓐᓂᐊᕐᕕᒃ (5810),,-nganni
ilinniarutauvattumik (2),ᐃᓕᓐᓂᐊᕈᑕᐅᕙᑦᑐᒥᒃ,educational,1,"ilinniarutauvattuq;
ilinniarutaujuq;
ilinniarutaujut","ᐃᓕᓐᓂᐊᕈᑕᐅᕙᑦᑐᖅ (0);
ᐃᓕᓐᓂᐊᕈᑕᐅᔪᖅ (9);
ᐃᓕᓐᓂᐊᕈᑕᐅᔪᑦ (30)",";
training program;
training/program/course",-mik
manimatittinirmit (1),ᒪᓂᒪᑎᑦᑎᓂᕐᒥᑦ,offer,1,"manimatittiniq;
manimajut","ᒪᓂᒪᑎᑦᑎᓂᖅ (3);
ᒪᓂᒪᔪᑦ (42)","offer;
financement/are offered",-mit
nunataarnirmut (9230),ᓄᓇᑖᕐᓂᕐᒧᑦ,(for the) land claims,1,nunataarniq,ᓄᓇᑖᕐᓂᖅ (2),land claim,"-mut (almost exclusively used in ""land claim agreement"", i.e. agreement for the acquisition of the land – formula used everywhere)"
kuapuriisakkut (756),ᑯᐊᐳᕇᓴᒃᑯᑦ,corporation,0,,,,
ikiaqqivingmi (994),ᐃᑭᐊᖅᑭᕕᖕᒥ,in the website,1,ikiaqqivik,ᐃᑭᐊᖅᑭᕕᒃ (542),website,-mi (in)
qanuittuugajarmangaat (2),ᖃᓄᐃᑦᑑᒐᔭᕐᒪᖔᑦ,what…,0,,,,
quviasuttut (749),ᖁᕕᐊᓱᑦᑐᑦ,they are pleased,0,,,,
akinnamiutat (4),ᐊᑭᓐᓇᒥᐅᑕᑦ,posters,1,akinnamiutaq,ᐊᑭᓐᓇᒥᐅᑕᖅ (38),,akinnaq (wall) miutaq (what lives in/on)
nunatuinnarmut (55),ᓄᓇᑐᐃᓐᓇᕐᒧᑦ,onto the land,1,nunatuinnaq,ᓄᓇᑐᐃᓐᓇᖅ (82),forests/tundra,
